timestamp,endpoint_name,model,problem_id,difficulty,problem_number,run_idx,ttft_s,gen_time_s,total_wall_s,output_tokens,tokens_per_s,passed
2026-07-01T01:07:43.058905+00:00,openai-model-default-v6-hard1-responses,gpt-5.5,abc387_f,hard,1,1,64.219457,3.323365,67.681024,4111,60.741,FALSE
2026-07-01T01:09:09.993880+00:00,openai-model-default-v6-hard1-responses,gpt-5.5,abc387_f,hard,1,2,77.774604,3.676742,81.541913,5312,65.144,TRUE
2026-07-01T01:10:02.786308+00:00,openai-model-default-v6-hard1-responses,gpt-5.5,abc387_f,hard,1,3,44.595350,3.059969,47.811744,3086,64.545,TRUE
2026-07-01T01:10:31.592524+00:00,openai-model-fast-v6-hard1-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc387_f,hard,1,1,7.014483,1.381252,8.518790,1994,234.071,TRUE
2026-07-01T01:10:45.795004+00:00,openai-model-fast-v6-hard1-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc387_f,hard,1,2,7.496001,0.791247,8.358286,2127,254.478,TRUE
2026-07-01T01:10:55.307472+00:00,openai-model-fast-v6-hard1-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc387_f,hard,1,3,5.806280,0.722994,6.608666,1833,277.363,FALSE
2026-07-01T01:25:45.521996+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_g,hard,2,1,56.546307,3.217270,59.918175,3985,66.507,TRUE
2026-07-01T01:25:55.237039+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_g,hard,2,1,6.147876,0.747060,6.973243,1841,264.009,FALSE
2026-07-01T01:27:15.105726+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_g,hard,2,2,72.597262,4.093233,76.770583,4954,64.530,TRUE
2026-07-01T01:27:47.007774+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_g,hard,2,2,25.184639,2.953724,28.420099,2188,76.988,TRUE
2026-07-01T01:28:56.973805+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_g,hard,2,3,63.429591,3.319446,66.832314,4292,64.220,TRUE
2026-07-01T01:29:08.481417+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_g,hard,2,3,7.595551,1.031378,8.709749,2285,262.350,FALSE
2026-07-01T01:30:20.776408+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_f,hard,3,1,65.268289,3.825058,69.231071,4168,60.204,TRUE
2026-07-01T01:30:29.847525+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_f,hard,3,1,5.499999,0.702551,6.267096,1658,264.556,TRUE
2026-07-01T01:32:42.872970+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_f,hard,3,2,126.181151,3.805577,130.108912,8014,61.595,TRUE
2026-07-01T01:32:56.495699+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_f,hard,3,2,9.865202,0.958802,10.960690,2767,252.448,TRUE
2026-07-01T01:35:05.582707+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_f,hard,3,3,121.740162,4.312672,126.358558,7289,57.685,TRUE
2026-07-01T01:35:14.306700+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_f,hard,3,3,4.754966,1.098142,5.924038,1562,263.671,FALSE
